game_name,trainer_name,trainer_url,download_url
Devil’s Hunt,Devil’s Hunt Trainer,https://flingtrainer.com/trainer/devils-hunt-trainer/,"https://flingtrainer.com/downloads/AtaUq6oE0PZp1pFQXVI5yA,,"
Dicefolk,Dicefolk Trainer,https://flingtrainer.com/trainer/dicefolk-trainer/,"https://flingtrainer.com/downloads/no90mBY40wECBgYlsBgvJQ,,"
Digimon Story Cyber Sleuth: Complete Edition,Digimon Story Cyber Sleuth: Complete Edition Trainer,https://flingtrainer.com/trainer/digimon-story-cyber-sleuth-complete-edition-trainer/,"https://flingtrainer.com/downloads/BKC4gsT90XaCPBgjPec-mA,,"
Digimon Story Time Stranger,Digimon Story Time Stranger Trainer,https://flingtrainer.com/trainer/digimon-story-time-stranger-trainer/,"https://flingtrainer.com/downloads/APASlkkUXQ9ydvas1dvxdA,,"
Digimon Survive,Digimon Survive Trainer,https://flingtrainer.com/trainer/digimon-survive-trainers/,"https://flingtrainer.com/downloads/mLOfWa8KoQadKzSj6rKGag,,"
Dinkum,Dinkum Trainer,https://flingtrainer.com/trainer/dinkum-trainer/,"https://flingtrainer.com/downloads/YXMfo_EMbFHh9mH09eFMhQ,,"
DIRT 5,DIRT 5 Trainer,https://flingtrainer.com/trainer/dirt-5-trainer/,"https://flingtrainer.com/downloads/wYpjNGjbjBe--qhrdUZQ5g,,"
Disciples: Liberation,Disciples: Liberation Trainer,https://flingtrainer.com/trainer/disciples-liberation-trainer/,"https://flingtrainer.com/downloads/b9MaO7-0ukyXvBs7Srr8XQ,,"
Disco Elysium,Disco Elysium Trainer,https://flingtrainer.com/trainer/disco-elysium-trainer/,"https://flingtrainer.com/downloads/Fds7lahMtuC-wVe3pWEaqQ,,"
Disgaea 6 Complete,Disgaea 6 Complete Trainer,https://flingtrainer.com/trainer/disgaea-6-complete-trainers/,"https://flingtrainer.com/downloads/McGTzlfBNAqaBFPEGiawMg,,"
Dishonored 2,Dishonored 2 Trainer,https://flingtrainer.com/trainer/dishonored-2-trainer/,"https://flingtrainer.com/downloads/JrNb1lRMYBM91CZ27tf_IQ,,"
